,gene1,gene2,result
199,G:HGNC:30513,G:HGNC:18043,"Meta path:['GMDMG'], rank is 906 and total rank is 2786"
200,G:HGNC:21205,G:HGNC:12420,"Meta path:['GTG'], rank is 134 and total rank is 357"
201,G:HGNC:18003,G:HGNC:6641,"Meta path:['GTG'], rank is 34 and total rank is 410"
202,G:HGNC:16178,G:HGNC:21365,"Meta path:['GMDMG'], rank is 2308 and total rank is 3363"
203,G:HGNC:13095,G:HGNC:30747,"Meta path:['GTG'], rank is 258 and total rank is 459"
204,G:HGNC:26887,G:HGNC:26784,"Meta path:['GDpDpDG'], rank is 2192 and total rank is 5825"
205,G:HGNC:25143,G:HGNC:6152,"Meta path:['GTG'], rank is 357 and total rank is 467"
206,G:HGNC:10576,G:HGNC:25527,"Meta path:['GMG'], rank is 7 and total rank is 261"
207,G:HGNC:18731,G:HGNC:9878,"Meta path:['GTG'], rank is 307 and total rank is 520"
208,G:HGNC:33258,G:HGNC:29889,"Meta path:['GMDpDMG'], rank is 298 and total rank is 3393"
209,G:HGNC:1717,G:HGNC:11388,"Meta path:['GTG'], rank is 216 and total rank is 544"
210,G:HGNC:33717,G:HGNC:15804,"Meta path:['GTG'], rank is 323 and total rank is 477"
211,G:HGNC:20951,G:HGNC:12984,"Meta path:['GTG'], rank is 46 and total rank is 398"
212,G:HGNC:5985,G:HGNC:30664,"Meta path:['GTG'], rank is 126 and total rank is 358"
213,G:HGNC:24911,G:HGNC:10773,"Meta path:['GTG'], rank is 147 and total rank is 456"
214,G:HGNC:9235,G:HGNC:701,"Meta path:['GTG'], rank is 298 and total rank is 931"
215,G:HGNC:29675,G:HGNC:29502,"Meta path:['GMG'], rank is 325 and total rank is 1494"
216,G:HGNC:23817,G:HGNC:29520,"Meta path:['GTG'], rank is 54 and total rank is 410"
217,G:HGNC:16157,G:HGNC:16798,"Meta path:['GMDMG'], rank is 904 and total rank is 2740"
218,G:HGNC:33864,G:HGNC:30782,"Meta path:['GTG'], rank is 227 and total rank is 442"
219,G:HGNC:18039,G:HGNC:1734,"Meta path:['GTG'], rank is 232 and total rank is 609"
220,G:HGNC:15714,G:HGNC:7380,"Meta path:['GTG'], rank is 280 and total rank is 450"
221,G:HGNC:29094,G:HGNC:11030,"Meta path:['GMDpDMG'], rank is 2464 and total rank is 4932"
222,G:HGNC:18358,G:HGNC:8473,"Meta path:['GTG'], rank is 48 and total rank is 287"
223,G:HGNC:32638,G:HGNC:52190,"Meta path:['GTG'], rank is 1 and total rank is 92"
224,G:HGNC:10064,G:HGNC:18037,"Meta path:['GTG'], rank is 213 and total rank is 400"
225,G:HGNC:30776,G:HGNC:30287,"Meta path:['GTG'], rank is 412 and total rank is 524"
226,G:HGNC:31894,G:HGNC:29075,"Meta path:['GTG'], rank is 3 and total rank is 113"
227,G:HGNC:6416,G:HGNC:12032,"Meta path:['GTG'], rank is 433 and total rank is 599"
228,G:HGNC:27501,G:HGNC:28130,"Meta path:['GTG'], rank is 216 and total rank is 399"
229,G:HGNC:543,G:HGNC:8752,"Meta path:['GTG'], rank is 219 and total rank is 480"
230,G:HGNC:16397,G:HGNC:10727,"Meta path:['GMDMG'], rank is 147 and total rank is 2632"
231,G:HGNC:15572,G:HGNC:17721,"Meta path:['GTG'], rank is 45 and total rank is 294"
232,G:HGNC:25820,G:HGNC:26790,"Meta path:['GMDpDMG'], rank is 400 and total rank is 4147"
233,G:HGNC:25049,G:HGNC:77,"Meta path:['GTG'], rank is 235 and total rank is 408"
234,G:HGNC:27030,G:HGNC:11447,"Meta path:['GTG'], rank is 174 and total rank is 413"
235,G:HGNC:44164,G:HGNC:24967,"Meta path:['GTG'], rank is 120 and total rank is 339"
236,G:HGNC:25557,G:HGNC:32484,"Meta path:['GTG'], rank is 155 and total rank is 335"
237,G:HGNC:9184,G:HGNC:9801,"Meta path:['GMG'], rank is 555 and total rank is 688"
238,G:HGNC:24252,G:HGNC:27892,"Meta path:['GMG'], rank is 25 and total rank is 276"
239,G:HGNC:12781,G:HGNC:20767,"Meta path:['GMG'], rank is 651 and total rank is 929"
240,G:HGNC:19441,G:HGNC:2093,"Meta path:['GTG'], rank is 310 and total rank is 457"
241,G:HGNC:26114,G:HGNC:4831,"Meta path:['GTG'], rank is 140 and total rank is 330"
242,G:HGNC:30941,G:HGNC:1620,"Meta path:['GTG'], rank is 301 and total rank is 556"
243,G:HGNC:28109,G:HGNC:6770,"Meta path:['GTG'], rank is 748 and total rank is 900"
244,G:HGNC:25517,G:HGNC:9240,"Meta path:['GTG'], rank is 294 and total rank is 461"
245,G:HGNC:26922,G:HGNC:9777,"Meta path:['GTG'], rank is 486 and total rank is 567"
246,G:HGNC:29587,G:HGNC:18420,"Meta path:['GTG'], rank is 138 and total rank is 418"
247,G:HGNC:31822,G:HGNC:28996,"Meta path:['GMDMG'], rank is 1210 and total rank is 2638"
248,G:HGNC:4392,G:HGNC:13158,"Meta path:['GTG'], rank is 239 and total rank is 509"
249,G:HGNC:13671,G:HGNC:14418,"Meta path:['GMDMG'], rank is 2525 and total rank is 3508"
250,G:HGNC:30290,G:HGNC:29120,"Meta path:['GTG'], rank is 55 and total rank is 305"
251,G:HGNC:14295,G:HGNC:3696,"Meta path:['GMG'], rank is 43 and total rank is 321"
252,G:HGNC:13172,G:HGNC:22048,"Meta path:['GTG'], rank is 116 and total rank is 428"
253,G:HGNC:10882,G:HGNC:21533,"Meta path:['GMDMG'], rank is 1685 and total rank is 2939"
254,G:HGNC:30951,G:HGNC:18458,"Meta path:['GMDpDMG'], rank is 48 and total rank is 5068"
255,G:HGNC:28592,G:HGNC:13887,"Meta path:['GMDMG'], rank is 3096 and total rank is 4095"
256,G:HGNC:3776,G:HGNC:16858,"Meta path:['GMG'], rank is 715 and total rank is 818"
257,G:HGNC:28898,G:HGNC:8148,"Meta path:['GMDMG'], rank is 1809 and total rank is 3224"
258,G:HGNC:2742,G:HGNC:19682,"Meta path:['GTG'], rank is 78 and total rank is 485"
259,G:HGNC:464,G:HGNC:9952,"Meta path:['GTG'], rank is 146 and total rank is 325"
260,G:HGNC:29183,G:HGNC:29442,"Meta path:['GMG'], rank is 153 and total rank is 538"
261,G:HGNC:12953,G:HGNC:3587,"Meta path:['GTG'], rank is 105 and total rank is 367"
262,G:HGNC:28734,G:HGNC:14244,"Meta path:['GTG'], rank is 172 and total rank is 441"
263,G:HGNC:6218,G:HGNC:12478,"Meta path:['GTG'], rank is 479 and total rank is 586"
264,G:HGNC:25514,G:HGNC:14210,"Meta path:['GMDMG'], rank is 827 and total rank is 3950"
265,G:HGNC:25110,G:HGNC:15646,"Meta path:['GTG'], rank is 148 and total rank is 421"
266,G:HGNC:16721,G:HGNC:17147,"Meta path:['GTG'], rank is 134 and total rank is 366"
267,G:HGNC:29305,G:HGNC:9866,"Meta path:['GTG'], rank is 426 and total rank is 652"
268,G:HGNC:24880,G:HGNC:29607,"Meta path:['GTG'], rank is 335 and total rank is 467"
269,G:HGNC:18698,G:HGNC:16501,"Meta path:['GTG'], rank is 199 and total rank is 464"
270,G:HGNC:32128,G:HGNC:1486,"Meta path:['GTG'], rank is 39 and total rank is 195"
271,G:HGNC:5424,G:HGNC:30087,"Meta path:['GMG'], rank is 119 and total rank is 421"
272,G:HGNC:6925,G:HGNC:6128,"Meta path:['GTG'], rank is 130 and total rank is 399"
273,G:HGNC:11697,G:HGNC:8982,"Meta path:['GTG'], rank is 367 and total rank is 467"
274,G:HGNC:25599,G:HGNC:20709,"Meta path:['GTG'], rank is 171 and total rank is 363"
